50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 42.131 26.393 20.382 18.086 17.209 16.875 16.749 16.704 16.698 16.723 16.804 17.022 17.596 19.098 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 39.508 18.524 10.509 7.448 6.279 5.832 5.663 5.601 5.585 5.598 5.655 5.810 6.220 7.295 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.634 15.901 7.218 3.902 2.635 2.151 1.967 1.898 1.876 1.878 1.906 1.989 2.209 2.787 4.299 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.342 15.027 6.121 2.720 1.420 0.924 0.735 0.663 0.638 0.633 0.645 0.683 0.788 1.064 1.788 4.299 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.245 14.736 5.756 2.326 1.016 0.515 0.324 0.252 0.225 0.217 0.219 0.236 0.283 0.407 0.731 1.788 4.299 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.213 14.638 5.634 2.194 0.881 0.379 0.162 0.126 0.112 0.108 0.110 0.118 0.141 0.203 0.366 0.731 1.788 4.299 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.203 14.608 5.598 2.162 0.866 0.412 -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.315 0.739 1.791 4.300 10.110 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.199 14.597 5.585 2.151 0.861 0.424 -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.132 0.301 0.733 1.788 4.299 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.198 14.594 5.581 2.148 0.859 0.427 -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.055 0.121 0.297 0.732 1.788 4.299 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
200.000 38.198 14.593 5.580 2.147 0.859 0.429 -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.022 0.048 0.119 0.296 0.731 1.788 4.299 10.109 23.033 50.000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
